trajectory_id,time,position,velocity,energy
run-012,0.775,0.67017689425,-0.822674099663,0.574059697821
run-012,0.8,0.64937991764,-0.840749372786,0.574057326136
run-012,0.825,0.62813942561,-0.858152978926,0.574055066859
run-012,0.85,0.606472268694,-0.874880610759,0.574052922545
run-012,0.875,0.584395395072,-0.890928736514,0.574050894767
run-012,0.9,0.561925831868,-0.906294544734,0.574048984184
run-012,0.925,0.539080667836,-0.920975887773,0.574047190605
run-012,0.95,0.51587703748,-0.934971224442,0.574045513071
run-012,0.975,0.492332106614,-0.948279562237,0.574043949927
run-012,1,0.468463059368,-0.960900399518,0.574042498911
run-012,1.025,0.444287086638,-0.972833668051,0.574041157235
run-012,1.05,0.419821375965,-0.98407967626,0.574039921672
run-012,1.075,0.395083102825,-0.994639053553,0.574038788641
run-012,1.1,0.370089423287,-1.00451269605,0.574037754292
run-012,1.125,0.344857468022,-1.01370171403,0.574036814587
run-012,1.15,0.319404337586,-1.02220738139,0.574035965383
run-012,1.175,0.293747098953,-1.03003108738,0.574035202508
run-012,1.2,0.267902783217,-1.03717429093,0.574034521831
run-012,1.225,0.241888384406,-1.04363847767,0.574033919335
run-012,1.25,0.215720859334,-1.04942512001,0.574033391179
run-012,1.275,0.189417128406,-1.05453564041,0.574032933757
run-012,1.3,0.162994077313,-1.05897137792,0.574032543753
run-012,1.325,0.13646855951,-1.06273355839,0.574032218184
run-012,1.35,0.109857399394,-1.06582326816,0.574031954447
run-012,1.375,0.0831773961018,-1.06824143165,0.574031750354
run-012,1.4,0.0564453278113,-1.06998879278,0.574031604157
run-012,1.425,0.029677956463,-1.07106590027,0.574031514579
run-012,1.45,0.00289203279777,-1.07147309709,0.574031480821
run-012,1.475,-0.0238956983913,-1.07121051381,0.574031502583
run-012,1.5,-0.0506684928928,-1.07027806617,0.574031580059
run-012,1.525,-0.0774096017001,-1.06867545666,0.574031713939
run-012,1.55,-0.104102265726,-1.0664021802,0.5740319054
run-012,1.575,-0.13072971071,-1.06345753392,0.574032156089
run-012,1.6,-0.157275142422,-1.05984063094,0.574032468101
run-012,1.625,-0.183721742257,-1.05555041809,0.574032843954
run-012,1.65,-0.210052663327,-1.05058569758,0.57403328655
run-012,1.675,-0.236251027136,-1.04494515236,0.574033799138
run-012,1.7,-0.262299920945,-1.03862737529,0.574034385265
run-012,1.725,-0.288182395901,-1.03163090175,0.574035048727
